Curriculum,WashingtonState_CS_BS,,,,,,,,,
Institution,"Washington State University",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.0701",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Arts","ARTS","1xx",,,,3,"","",1.0,0,1.0,0
2,"Program Design and Development Java","CPT S","131","4;3",,,4,"","",21.0,14,7.0,120
3,"Introduction to Computer Programming","CPT S","111",,,,3,"","",22.0,15,7.0,0
4,"Calculus I","MATH","171",,,,4,"","",25.0,18,7.0,0
5,"The Roots of Contemporary Issues ","HISTORY","105",,,,3,"","",1.0,0,1.0,0
6,"Introduction to Formal Logic","PHIL","201",,,,3,"","",1.0,0,1.0,0
7,"Data Structures Java ","CPT S","132","2",,,4,"","",20.0,13,7.0,120
8,"English 101","English ","101",,,,3,"","",3.0,1,2.0,0
9,"Calculus II","MATH ","172","4",,,4,"","",2.0,0,2.0,0
10,"Discrete Structures","MATH","216","4",,,3,"","",18.0,12,6.0,46
11,"Social Science","SSCI","1xx",,,,3,"","",1.0,0,1.0,0
12,"Advanced Data Structures Java","CPT S","233","7","10",,3,"","",17.0,10,7.0,144
13,"Introduction to Computer Architecture","CPT S","260",,"12",,3,"","",7.0,1,6.0,17
14," Programming Language Design","CPT S","355","12",,,3,"","",5.0,0,5.0,0
15,"Diversity","DIVR","1xx",,,,3,"","",1.0,0,1.0,0
16,"Minor Elective","ELECTIVE","1xx",,,,3,"","",1.0,0,1.0,0
17,"Introduction to Statistical Methods","STAT","212","4",,,4,"","",2.0,0,2.0,0
18,"Bio science w/lab","BSCI","1xx",,,,4,"","",1.0,0,1.0,0
19,"Physical Science w/lab","PSCI","1xx",,,,4,"","",1.0,0,1.0,0
20,"Minor Elective","ELECTIVE","1xx",,,,3,"","",1.0,0,1.0,0
21,"Minor Elective","ELECTIVE","1xx",,,,3,"","",1.0,0,1.0,0
22,"Science with lab","SCI","1xx",,,,4,"","",1.0,0,1.0,0
23,"Science elective no lab","SCI","1xx",,,,3,"","",1.0,0,1.0,0
24,"Minor UD elective","ELECTIVE","3xx",,,,3,"","",1.0,0,1.0,0
25,"Technical and Professional Writing","English ","402","8",,,3,"","",2.0,0,2.0,0
26,"Software Engineering Principles I ","CPT S","322","12",,,3,"","",9.0,2,7.0,20
27,"Professional Skills in Computing and Engineering","CPT S","302","7",,,3,"","",4.0,0,4.0,0
28,"Automata and Formal Languages ","CPT S","317","7;10",,,3,"","",6.0,1,5.0,14
29,"Systems Programming Java","CPT S","370","12",,,4,"","",10.0,3,7.0,37
30,"Minor UD elective","ELECTIVE","3xx",,,,3,"","",1.0,0,1.0,0
31,"Minor UD elective","ELECTIVE","3xx",,,,3,"","",1.0,0,1.0,0
32,"Humanities","HUM","1xx",,,,3,"","",1.0,0,1.0,0
33,"Fundamentals of Cyber Security and Cryptography","CPT S","327","13;12","29",,3,"","",6.0,0,6.0,0
34,"Design and Analysis of Algorithms","CPT S","350","12;28",,,3,"","",5.0,0,5.0,0
35,"Software Design Project I ","CPT S","421","26","29",,3,"","",8.0,1,7.0,40
36,"Software Design Project I","CPT S","423","35",,,3,"","",7.0,0,7.0,0
37,"Artificial Intelligence  (cs elective)","CPT S","440","12",,,3,"","",5.0,0,5.0,0
38," Introduction to Database Systems","CPT S","451","12",,,3,"","",5.0,0,5.0,0
