Curriculum,Weber_State_University_CS,,,,,,,,,
Institution,"Weber State University",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Foundation of Computing","CS","1030",,,,4,"","",24.0,17,7.0,0
2,"Introductory College Writing","ENGL","1010",,,,3,"","",22.0,16,6.0,0
3,"Programming I","CS","1400","1",,,4,"","",23.0,16,7.0,94
4,"Object Oriented Programming","CS","1410","2;3",,,4,"","",20.0,13,7.0,137
5,"Introductions to Data Structures and Algorithms","CS","2420","4",,,4,"","",16.0,9,7.0,84
6,"Computer Architecture/Organization","CS","2810","4",,,4,"","",6.0,1,5.0,9
7,"Operating Systems","CS","3100","5;6",,,4,"","",5.0,0,5.0,0
8,"Object Oriented User Interface Development with Java","CS","3230","5",,,4,"","",10.0,3,7.0,37
9,"Introduction to Database Design and SQL","CS","2550",,,,4,"","",8.0,4,4.0,0
10,"Advanced Database Programming","CS","3550","4;9",,,4,"","",9.0,3,6.0,30
11,"Client Side Web Development","CS","2350","3",,,4,"","",8.0,3,5.0,10
12,"Software Engineering I","CS","2450","4",,,4,"","",9.0,3,6.0,22
13,"Associate Degree Assesment","CS","2899",,,,0,"","",6.0,3,3.0,0
14,"Intermediate College Writing","ENGL","2010","2",,,3,"","",9.0,4,5.0,10
15,"Professional and Technical Writing","CS","3100","14",,,3,"","",8.0,3,5.0,10
16,"Critial Thinking","PHIL","1250",,,,3,"","",6.0,3,3.0,0
17,"Software Engineering II","CS","3750","13;15;16;11;10;12;8",,,4,"","",9.0,2,7.0,110
18,"Discrete Mathematics Applied to Computing","MATH","1630","3",,,4,"","",8.0,3,5.0,9
19,"Concepts of Formal Languages and Algorithms for Computing","CS","4110","5;18",,,4,"","",7.0,1,6.0,16
20,"CS Capstone","CS","4760","17",,,4,"","",7.0,0,7.0,0
21,"INT - Cooperative Work Experience","CS","4890","5",,,2,"","",5.0,0,5.0,0
22,"Bachelor's Degree Assessment","CS","4899",,,,0,"","",1.0,0,1.0,0
23,"Calculus I","MATH","1210",,,,4,"","",4.0,2,2.0,0
24,"Calculus II","MATH","1220","23",,,4,"","",2.0,0,2.0,0
25,"Foundations of Algebra 3110","MATH","3110","23",,,3,"","",2.0,0,2.0,0
26,"Introduction to Artifical Intelligence (CS Elective)","CS","4500","5;18",,,4,"","",5.0,0,5.0,0
27,"Compiler Design (CS Elective)","CS","4820","5;19",,,4,"","",6.0,0,6.0,0
28,"Java Application Development (Upper Division Elective)","CS","4230","8;17",,,4,"","",7.0,0,7.0,0
29,"American Instituations","XX","XX",,,,2,"","",1.0,0,1.0,0
30,"Equity Diversity, and Inclusion","XX","XX",,,,3,"","",1.0,0,1.0,0
31,"Information Literacy","XX","XX",,,,3,"","",1.0,0,1.0,0
32,"Creative Arts","XX","XX",,,,3,"","",1.0,0,1.0,0
33,"Humanities","XX","XX",,,,3,"","",1.0,0,1.0,0
34,"Social Science","XX","XX",,,,3,"","",1.0,0,1.0,0
35,"Life Scince","XX","XX",,,,3,"","",1.0,0,1.0,0
36,"Physical Science","XX","XX",,,,3,"","",1.0,0,1.0,0
