Curriculum,Computer Science BS,,,,,,,,
Insitution,California State - Fullerton,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Intro to Programming,CPSC,120,,,,3,,
2,OOP,CPSC,121,1,,,3,,
3,Data Structures,CPSC,131,2,,,3,,
4,Python Programming,CPSC,223P,3,,,3,,
5,Computer Org,CPSC,240,3;24,,,3,,
6,Ethics,CPSC,315,30,,,3,,
7,Compilers,CPSC,323,3,,,3,,
8,Files and Databases,CPSC,332,3,,,3,,
9,Algorithms,CPSC,335,3;25,,,3,,
10,OS concepts,CPSC,351,3,,,3,,
11,Comp Security,CPSC,353,3,,,3,,
12,Software Engineering,CPSC,362,3,,,3,,
13,Computer Com,CPSC,471,10,,,3,,
14,Artificial Intelligence,CPSC,481,9;26,,,3,,
15,Seminar,CPSC,490,12,,,3,,
16,Capstone,CPSC,491,15,,,3,,
17,CS Telective,CPSC,411,3,,,3,,
18,CS Telective,CPSC,449,8,,,3,,
19,CS Telective,CPSC,386,2,,,3,,
20,CS Telective,CPSC,484,3;23;25,,,3,,
21,CS Telective,CPSC,486,19;20,,,3,,
22,Calc I,MATH,150A,,,,4,,
23,Calc II,MATH,150B,22,,,4,,
24,Math Struc I,MATH,270A,,,,3,,
25,Math Struct II,MATH,270B,24,,,3,,
26,Stats,MATH,338,23,,,4,,
27,Cell Bio,BIOL,151,,,,4,,
28,Intro to Geo,GEOL,101/101L,,,,4,,
29,Linear Algebra,MATH,250B,,,,4,,
30,Writing,CPSC,131,,,,3,,
31,Gen Ed,gened,2,,,,3,,
32,Gen Ed,gened,3,,,,3,,
33,Gen Ed,gened,4,,,,3,,
34,Gen Ed,gened,5,,,,3,,
35,Gen Ed,gened,6,,,,3,,
36,Gen Ed,gened,7,,,,3,,
37,Gen Ed,gened,8,,,,3,,
38,Gen Ed,gened,9,,,,3,,
