Curriculum,Computer Information Systems (CIS) BBA,,,,,,,,
Insitution,CUNY Baruch,,,,,,,,
Degree Type,BBA,,,,,,,,
System Type,semester,,,,,,,,
CIP,?,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Programming and Computational Thinking,CIS,2300,,,,3,,
2,Object Oriented programming I,CIS,3100,1,,,3,,
3,Database Management Systems,CIS,3400,8;13,,,3,,
4,System Analysis and Design,CIS,4800,1;3,,,3,,
5,Information Technology Development and Project Management,CIS,5800,4,2,,3,,
6,Programming for Analytics (CS Elective),CIS,3120,1,,,3,,
7,Principles of Web Design (Wen Design),CIS,3630,8,,,3,,
8,Introduction to Information Systems and Technologies,CIS,2200,,22;13,,3,,
9,Data Warehousing for Analytics (CS Elective 4000 lvl),CIS,4400,3,,,3,,
10,Principles of Accounting,ACC,2101,,22,,3,,
11,Principles of Managerial Accounting For Non-accounting Majors,ACC,2203,10,22,,3,,
12,Business Policy,BPL,5100,11;16;17;19;18,,,3,,
13,Business Fundamentals: The Contemporary Business Landscape,BUS,2000,,,,3,,
14,Fundamentals of Business Law,LAW,1101,23,,,3,,
15,Principles of Financial Planning and Individual Investing,FIN,2000,,,,1.5,,
16,Principles of Finance,FIN,3000,24;25;26;10,22,,3,,
17,Fundamentals of Management,MGT,3120,23;24;26;10,,,3,,
18,Marketing Foundations,MKT,3000,23,22,,3,,
19,Service Operations Management,OPM,3000,24;25;26,,,3,,
20,Foundations of Predictive Analytics and Decision Modeling,QNT,2020,26,22,,3,,
21,Professional Speech Communication,COM,3021,27,,,1.5,,
22,Calculus 1,MTH,2610,,,,4,,
23,Writing I,ENG,2100,,,,4,,
24,Mirco Economics,ECO,1001,,22,,3,,
25,Macro Economics,ECO,1002,,22,,3,,
26,Business Statistics I,STA,2000,,22,,3,,
27,Introduction to Business Communication,COM,2020,,,,3,,
28,Elective,XX,XX,,,,4,,
29,Elective,XX,XX,,,,4,,
30,Elective,XX,XX,,,,4,,
31,Elective,XX,XX,,,,4,,
32,Elective,XX,XX,,,,4,,
33,Elective,XX,XX,,,,4,,
34,Elective,XX,XX,,,,4,,
35,Elective,XX,XX,,,,4,,
36,Elective,XX,XX,,,,4,,
37,Elective,XX,XX,,,,4,,
38,Elective,XX,XX,,,,4,,
