Curriculum,CUNY_Baruch_CS,,,,,,,,,
Institution,"CUNY Baruch",,,,,,,,,
Degree Type,"BBA",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"?",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Programming and Computational Thinking","CIS","2300",,,,3,"","",7.0,4,3.0,0
2,"Object Oriented programming I","CIS","3100","1",,,3,"","",4.0,1,3.0,3
3,"Database Management Systems","CIS","3400","13;8",,,3,"","",8.0,3,5.0,25
4,"System Analysis and Design","CIS","4800","3;1",,,3,"","",6.0,1,5.0,17
5,"Information Technology Development and Project Management","CIS","5800","4","2",,3,"","",5.0,0,5.0,0
6,"Programming for Analytics (CS Elective)","CIS","3120","1",,,3,"","",2.0,0,2.0,0
7,"Principles of Web Design (Wen Design)","CIS","3630","8",,,3,"","",3.0,0,3.0,0
8,"Introduction to Information Systems and Technologies","CIS","2200",,"22;13",,3,"","",10.0,5,5.0,24
9,"Data Warehousing for Analytics (CS Elective 4000 lvl)","CIS","4400","3",,,3,"","",4.0,0,4.0,0
10,"Principles of Accounting","ACC","2101",,"22",,3,"","",8.0,4,4.0,12
11,"Principles of Managerial Accounting For Non-accounting Majors","ACC","2203","10","22",,3,"","",5.0,1,4.0,7
12,"Business Policy","BPL","5100","16;11;18;17;19",,,3,"","",4.0,0,4.0,0
13,"Business Fundamentals: The Contemporary Business Landscape","BUS","2000",,,,3,"","",11.0,6,5.0,0
14,"Fundamentals of Business Law","LAW","1101","23",,,3,"","",2.0,0,2.0,0
15,"Principles of Financial Planning and Individual Investing","FIN","2000",,,,1.5,"","",1.0,0,1.0,0
16,"Principles of Finance","FIN","3000","25;10;26;24","22",,3,"","",5.0,1,4.0,19
17,"Fundamentals of Management","MGT","3120","10;26;24;23",,,3,"","",5.0,1,4.0,15
18,"Marketing Foundations","MKT","3000","23","22",,3,"","",4.0,1,3.0,6
19,"Service Operations Management","OPM","3000","25;26;24",,,3,"","",5.0,1,4.0,12
20,"Foundations of Predictive Analytics and Decision Modeling","QNT","2020","26","22",,3,"","",3.0,0,3.0,0
21,"Professional Speech Communication","COM","3021","27",,,1.5,"","",2.0,0,2.0,0
22,"Calculus 1","MTH","2610",,,,4,"","",22.0,17,5.0,0
23,"Writing I","ENG","2100",,,,4,"","",7.0,4,3.0,0
24,"Mirco Economics","ECO","1001",,"22",,3,"","",8.0,4,4.0,12
25,"Macro Economics","ECO","1002",,"22",,3,"","",7.0,3,4.0,8
26,"Business Statistics I","STA","2000",,"22",,3,"","",9.0,5,4.0,15
27,"Introduction to Business Communication","COM","2020",,,,3,"","",3.0,1,2.0,0
28,"Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
29,"Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
30,"Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
31,"Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
32,"Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
33,"Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
34,"Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
35,"Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
36,"Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
37,"Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
38,"Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
